match_id,date,season,tournament_name,is_worldcup,match_stage,team1,team2,venue,city,toss_winner,toss_decision,winner,result_type,format,innings1_team,innings1_runs,innings1_wkts,innings1_overs,innings2_team,innings2_runs,innings2_wkts,innings2_overs,year,month,batting_first,chasing_team,first_innings_score,second_innings_score,match_result,elo_team1,elo_team2,elo_diff,team1_form_5,team2_form_5,team1_form_10,team2_form_10,h2h_win_pct
-248520385,2025-03-18,2025,Sri Lanka Women tour of New Zealand,False,,New Zealand,Sri Lanka,"University Oval, Dunedin",Dunedin,Sri Lanka,field,,no result,T20,New Zealand,101,3,14.7,,,,,2025,3,New Zealand,Sri Lanka,101,0.0,no result,1704.796284370711,1682.1529545510457,22.64332981966527,0.6,0.4,0.7,0.5,0.75
4664491482,2025-03-19,2025,Canada tour of Namibia,False,,Canada,Namibia,"Namibia Cricket Ground, Windhoek",Windhoek,Namibia,field,Namibia,unknown,T20,Canada,145,8,16.5,Namibia,146.0,7.0,15.8,2025,3,Canada,Namibia,145,146.0,completed,1573.8573314737312,1567.7391949685968,6.118136505134316,0.6,0.4,0.6,0.5,0.5
-622773943,2025-03-21,2025,Australia Women tour of New Zealand,False,,New Zealand,Australia,"Eden Park, Auckland",Auckland,New Zealand,bat,Australia,unknown,T20,New Zealand,137,2,20.2,Australia,138.0,2.0,14.2,2025,3,New Zealand,Australia,137,138.0,completed,1703.7549943677877,1928.2542936043264,-224.49929923653872,0.7,1.0,0.65,0.9,0.34782608695652173
-153671259,2025-03-21,2025,Pakistan tour of New Zealand,False,,New Zealand,Pakistan,"Eden Park, Auckland",Auckland,Pakistan,field,Pakistan,unknown,T20,New Zealand,204,10,20.5,Pakistan,207.0,1.0,16.8,2025,3,New Zealand,Pakistan,204,207.0,completed,1696.8602720322458,1540.449651883918,156.41062014832778,0.7,0.0,0.65,0.2,0.5925925925925926
-866212149,2025-03-22,2025,Canada tour of Namibia,False,,Canada,Namibia,"Namibia Cricket Ground, Windhoek",Windhoek,Canada,bat,Namibia,unknown,T20,Canada,42,7,13.3,Namibia,42.0,0.0,2.8,2025,3,Canada,Namibia,42,42.0,completed,1557.5756099946598,1584.0209164476682,-26.44530645300847,0.4,0.6,0.6,0.6,0.0
-771422592,2025-03-23,2025,Pakistan tour of New Zealand,False,,New Zealand,Pakistan,"Bay Oval, Mount Maunganui",Mount Maunganui,Pakistan,field,New Zealand,unknown,T20,New Zealand,220,6,21.3,Pakistan,105.0,10.0,17.7,2025,3,New Zealand,Pakistan,220,105.0,completed,1674.1074424836097,1563.2024814325541,110.90496105105558,0.5,0.2,0.55,0.3,0.5714285714285714
4399613021,2025-03-23,2025,Australia Women tour of New Zealand,False,,Australia,New Zealand,"Bay Oval, Mount Maunganui",Mount Maunganui,Australia,bat,Australia,unknown,T20,Australia,204,3,21.3,New Zealand,122.0,10.0,17.2,2025,3,Australia,New Zealand,204,122.0,completed,1935.1490159398684,1685.166761702924,249.9822542369443,1.0,0.5,0.9,0.55,0.6666666666666666
-811127141,2025-03-23,2025,Canada tour of Namibia,False,,Canada,Namibia,"Namibia Cricket Ground, Windhoek",Windhoek,Namibia,field,Namibia,unknown,T20,Canada,142,7,20.8,Namibia,143.0,2.0,15.8,2025,3,Canada,Namibia,142,143.0,completed,1542.7911148855728,1598.8054115567552,-56.014296671182365,0.4,0.6,0.5,0.6,0.0
4096172184,2025-03-26,2025,Australia Women tour of New Zealand,False,,Australia,New Zealand,"Sky Stadium, Wellington",Wellington,New Zealand,field,Australia,unknown,T20,Australia,180,4,20.2,New Zealand,172.0,8.0,20.7,2025,3,Australia,New Zealand,180,172.0,completed,1941.2833569168054,1679.032420725987,262.25093619081827,1.0,0.3,0.9,0.45,0.68
8180919862,2025-03-26,2025,Pakistan tour of New Zealand,False,,Pakistan,New Zealand,"Sky Stadium, Wellington",Wellington,New Zealand,field,New Zealand,unknown,T20,Pakistan,128,9,21.2,New Zealand,131.0,2.0,10.3,2025,3,Pakistan,New Zealand,128,131.0,completed,1552.1431622132397,1673.240661168862,-121.09749895562231,0.2,0.3,0.3,0.45,0.41379310344827586
-117862043,2025-04-07,2025,Norway Women tour of Portugal,False,,Portugal,Norway,Santarem Cricket Ground,Albergaria,Portugal,bat,Portugal,unknown,T20,Portugal,109,9,22.3,Norway,93.0,10.0,22.3,2025,4,Portugal,Norway,109,93.0,completed,1566.267244467545,1490.8008361846325,75.46640828291243,0.4,0.4,0.7,0.6,0.5
-383282373,2025-04-07,2025,Norway tour of Portugal,False,,Norway,Portugal,Santarem Cricket Ground,Albergaria,Portugal,field,Norway,unknown,T20,Norway,154,6,21.7,Portugal,115.0,9.0,19.8,2025,4,Norway,Portugal,154,115.0,completed,1478.2225489808634,1578.8455316713141,-100.62298269045073,0.4,0.4,0.6,0.7,0.0
-816604091,2025-04-08,2025,Norway Women tour of Portugal,False,,Portugal,Norway,Santarem Cricket Ground,Albergaria,Portugal,bat,Norway,unknown,T20,Portugal,136,1,21.7,Norway,137.0,5.0,25.8,2025,4,Portugal,Norway,136,137.0,completed,1558.3370269049801,1498.7310537471974,59.60597315778273,0.4,0.4,0.6,0.5,0.5
